PROVINCIA,age,year_test,cases_p
HUACAYBAMBA,b. 40-60,2020,42
HUACAYBAMBA,b. 40-60,2021,114
HUACAYBAMBA,c. >60,2020,30
HUACAYBAMBA,c. >60,2021,61
HUALGAYOC,a. <40,2020,720
HUALGAYOC,a. <40,2021,922
HUALGAYOC,b. 40-60,2020,346
HUALGAYOC,b. 40-60,2021,562
HUALGAYOC,c. >60,2020,121
HUALGAYOC,c. >60,2021,339
HUALLAGA,a. <40,2020,537
HUALLAGA,a. <40,2021,327
HUALLAGA,b. 40-60,2020,304
HUALLAGA,b. 40-60,2021,235
HUALLAGA,c. >60,2020,200
HUALLAGA,c. >60,2021,122
HUAMALIES,a. <40,2020,308
HUAMALIES,a. <40,2021,387
HUAMALIES,b. 40-60,2020,174
HUAMALIES,b. 40-60,2021,237
HUAMALIES,c. >60,2020,80
HUAMALIES,c. >60,2021,154
HUAMANGA,a. <40,2020,5075
HUAMANGA,a. <40,2021,4989
HUAMANGA,b. 40-60,2020,3509
HUAMANGA,b. 40-60,2021,3657
HUAMANGA,c. >60,2020,1405
HUAMANGA,c. >60,2021,1750
HUANCA SANCOS,a. <40,2020,26
HUANCA SANCOS,a. <40,2021,111
HUANCA SANCOS,b. 40-60,2020,28
HUANCA SANCOS,b. 40-60,2021,70
HUANCA SANCOS,c. >60,2020,23
HUANCA SANCOS,c. >60,2021,60
HUANCABAMBA,a. <40,2020,224
HUANCABAMBA,a. <40,2021,426
HUANCABAMBA,b. 40-60,2020,172
HUANCABAMBA,b. 40-60,2021,276
HUANCABAMBA,c. >60,2020,97
HUANCABAMBA,c. >60,2021,180
HUANCANE,a. <40,2020,256
HUANCANE,a. <40,2021,185
HUANCANE,b. 40-60,2020,199
HUANCANE,b. 40-60,2021,172
HUANCANE,c. >60,2020,117
HUANCANE,c. >60,2021,170
HUANCAVELICA,a. <40,2020,2572
HUANCAVELICA,a. <40,2021,2355
HUANCAVELICA,b. 40-60,2020,1304
HUANCAVELICA,b. 40-60,2021,1139
HUANCAVELICA,c. >60,2020,421
HUANCAVELICA,c. >60,2021,515
HUANCAYO,a. <40,2020,6915
HUANCAYO,a. <40,2021,17861
HUANCAYO,b. 40-60,2020,4583
HUANCAYO,b. 40-60,2021,10750
HUANCAYO,c. >60,2020,2121
HUANCAYO,c. >60,2021,4687
HUANTA,a. <40,2020,1100
HUANTA,a. <40,2021,1078
HUANTA,b. 40-60,2020,549
HUANTA,b. 40-60,2021,738
HUANTA,c. >60,2020,294
HUANTA,c. >60,2021,409
HUANUCO,a. <40,2020,5882
HUANUCO,a. <40,2021,4285
HUANUCO,b. 40-60,2020,3660
HUANUCO,b. 40-60,2021,2734
HUANUCO,c. >60,2020,1919
HUANUCO,c. >60,2021,1377
HUARAL,a. <40,2020,3252
HUARAL,a. <40,2021,4694
HUARAL,b. 40-60,2020,2326
HUARAL,b. 40-60,2021,3055
HUARAL,c. >60,2020,1179
HUARAL,c. >60,2021,1602
HUARAZ,a. <40,2020,3511
HUARAZ,a. <40,2021,6022
HUARAZ,b. 40-60,2020,2243
HUARAZ,b. 40-60,2021,3210
